,Gender,TravelMethod,TravelTime,PartTimeJob,Relationship,Father's_education,Mother's_education,StudyHours,AttendenceLecs,Concentrate,Friends,SocialMediaTime,extra curricular,StudyPattern,Rate yourself,Marks
127,0,0,4,1,0,2,1,2,1,1,1,3,1,2,4,Fail
128,1,0,2,1,1,1,1,3,2,1,1,2,1,1,1,80 to 89
129,1,1,4,1,1,1,1,4,2,2,0,2,1,1,1,80 to 89
130,1,1,3,1,1,2,2,1,1,1,0,3,1,2,3,40 to 49
131,1,0,3,0,1,2,2,2,1,1,1,3,1,2,3,40 to 49
132,0,0,2,0,1,1,2,1,1,1,0,2,0,2,3,50 to 59
133,0,0,4,0,0,2,3,2,1,1,0,1,1,2,4,40 to 49
134,0,0,1,0,0,1,1,2,2,1,1,3,1,2,3,40 to 49
135,1,0,3,1,0,1,1,2,2,1,0,1,0,2,3,50 to 59
136,1,1,2,1,1,1,1,2,1,1,0,3,0,2,3,Fail
137,1,1,3,1,0,2,3,2,1,1,1,3,1,2,3,50 to 59
138,1,1,4,1,0,2,3,2,1,1,0,3,0,2,3,Fail
139,1,0,4,0,1,2,2,1,1,1,0,3,1,2,3,40 to 49
140,0,0,1,0,0,1,1,1,1,1,1,3,1,2,4,Fail
141,1,1,3,0,0,2,2,3,2,1,1,2,1,1,1,90 to 100
142,0,1,4,0,0,2,1,1,3,1,0,3,0,2,4,Fail
143,1,1,4,1,1,1,2,1,1,1,0,3,1,2,4,Fail
144,1,0,4,1,0,1,3,4,2,1,0,3,1,2,4,Fail
145,0,1,4,0,0,2,1,1,3,1,0,3,0,2,4,Fail
146,1,1,4,1,1,1,2,1,1,1,0,3,1,2,4,Fail
147,1,1,4,1,1,1,2,1,1,1,0,3,1,2,4,Fail
148,1,1,4,1,1,1,2,1,1,1,0,3,1,2,4,Fail
149,1,1,4,1,1,1,2,1,1,1,0,3,1,2,4,Fail
150,1,0,4,1,0,1,3,4,2,1,0,3,1,2,4,Fail
151,1,1,4,1,1,1,2,1,1,1,0,3,1,2,4,Fail
152,1,0,4,1,0,1,3,4,2,1,0,3,1,2,4,Fail
153,0,1,4,1,1,3,3,2,2,2,0,3,1,2,4,Fail
154,0,1,4,0,0,2,1,1,3,1,0,3,0,2,4,Fail
155,1,1,4,1,1,1,2,1,1,1,0,3,1,2,4,Fail
156,0,1,4,1,1,3,3,2,2,2,0,3,1,2,4,Fail
157,0,1,4,0,0,2,1,1,3,1,0,3,0,2,4,Fail
158,0,1,4,0,0,2,1,1,3,1,0,3,0,2,4,Fail
159,0,1,4,0,0,2,1,1,3,1,0,3,0,2,4,Fail
160,0,1,4,1,1,3,3,2,2,2,0,3,1,2,4,Fail
161,1,0,4,1,0,1,3,4,2,1,0,3,1,2,4,Fail
162,0,1,4,1,1,3,3,2,2,2,0,3,1,2,4,Fail
163,1,1,4,1,1,1,2,1,1,1,0,3,1,2,4,Fail
164,1,1,4,1,1,1,2,1,1,1,0,3,1,2,4,Fail
165,0,1,4,1,1,3,3,2,2,2,0,3,1,2,4,Fail
166,0,1,4,0,0,2,1,1,3,1,0,3,0,2,4,Fail
167,1,0,4,1,0,1,3,4,2,1,0,3,1,2,4,Fail
168,1,0,4,1,0,1,3,4,2,1,0,3,1,2,4,Fail
169,1,0,4,1,0,1,3,4,2,1,0,3,1,2,4,Fail
170,1,0,4,1,0,1,3,4,2,1,0,3,1,2,4,Fail
171,0,1,4,0,0,2,1,1,3,1,0,3,0,2,4,Fail
172,1,0,4,1,0,1,3,4,2,1,0,3,1,2,4,Fail
173,0,1,4,0,0,2,1,1,3,1,0,3,0,2,4,Fail
174,1,1,4,1,1,1,2,1,1,1,0,3,1,2,4,Fail
175,0,1,4,0,0,2,1,1,3,1,0,3,0,2,4,Fail
176,1,1,4,1,1,1,2,1,1,1,0,3,1,2,4,Fail
177,1,0,4,1,0,1,3,4,2,1,0,3,1,2,4,Fail
178,0,1,4,1,1,3,3,2,2,2,0,3,1,2,4,Fail
179,1,1,4,1,1,1,2,1,1,1,0,3,1,2,4,Fail
180,0,1,3,1,1,1,1,3,2,2,1,1,0,2,3,Fail
181,0,1,4,0,1,2,2,1,1,1,0,3,1,2,4,Fail
182,1,0,3,1,0,2,1,1,1,1,0,2,1,2,2,Fail
183,0,1,3,1,1,1,1,3,2,2,1,1,0,2,3,Fail
184,1,0,2,0,1,2,2,1,1,1,0,3,0,2,4,Fail
185,1,0,3,1,0,2,1,1,1,1,0,2,1,2,2,Fail
186,0,0,1,0,0,1,1,1,1,1,1,3,1,2,4,Fail
187,1,0,3,1,0,2,1,1,1,1,0,2,1,2,2,Fail
188,1,0,3,1,0,2,1,1,1,1,0,2,1,2,2,Fail
189,0,1,3,1,1,1,1,3,2,2,1,1,0,2,3,Fail
190,1,0,2,0,1,2,2,1,1,1,0,3,0,2,4,Fail
191,1,0,2,0,1,2,2,1,1,1,0,3,0,2,4,Fail
192,1,0,2,0,1,2,2,1,1,1,0,3,0,2,4,Fail
193,0,1,3,1,1,1,1,3,2,2,1,1,0,2,3,Fail
194,0,1,4,0,1,2,2,1,1,1,0,3,1,2,4,Fail
195,1,1,2,1,1,1,1,2,1,1,0,3,0,2,3,Fail
196,1,0,3,1,0,2,1,1,1,1,0,2,1,2,2,Fail
197,1,0,3,1,0,2,1,1,1,1,0,2,1,2,2,Fail
198,0,1,4,0,1,2,2,1,1,1,0,3,1,2,4,Fail
199,1,1,2,1,1,1,1,2,1,1,0,3,0,2,3,Fail
200,0,1,4,0,1,2,2,1,1,1,0,3,1,2,4,Fail
201,0,1,3,1,1,1,1,3,2,2,1,1,0,2,3,Fail
202,0,1,3,1,1,1,1,3,2,2,1,1,0,2,3,Fail
203,1,1,2,1,1,1,1,2,1,1,0,3,0,2,3,Fail
204,0,0,1,0,0,1,1,1,1,1,1,3,1,2,4,Fail
205,0,0,1,0,0,1,1,1,1,1,1,3,1,2,4,Fail
206,0,1,3,1,1,1,1,3,2,2,1,1,0,2,3,Fail
207,1,1,2,1,1,1,1,2,1,1,0,3,0,2,3,Fail
208,1,0,2,0,1,2,2,1,1,1,0,3,0,2,4,Fail
209,1,1,2,1,1,1,1,2,1,1,0,3,0,2,3,Fail
210,1,0,2,0,1,2,2,1,1,1,0,3,0,2,4,Fail
211,0,1,4,0,1,2,2,1,1,1,0,3,1,2,4,Fail
212,0,1,4,0,1,2,2,1,1,1,0,3,1,2,4,Fail
213,0,1,3,1,1,1,1,3,2,2,1,1,0,2,3,Fail
214,1,0,2,0,1,2,2,1,1,1,0,3,0,2,4,Fail
215,1,0,2,0,1,2,2,1,1,1,0,3,0,2,4,Fail
216,1,1,4,0,1,2,1,1,1,3,0,4,1,2,4,Fail
217,1,1,4,0,1,2,1,1,1,3,0,4,1,2,4,Fail
218,1,1,3,0,1,2,3,4,1,3,0,3,1,2,3,Fail
219,1,1,4,1,0,2,3,2,1,1,0,3,0,2,3,Fail
220,1,1,3,0,1,2,3,4,1,3,0,3,1,2,3,Fail
221,1,1,4,1,0,2,3,2,1,1,0,3,0,2,3,Fail
222,0,0,1,1,1,1,1,1,1,3,1,3,1,2,4,Fail
223,1,1,3,0,1,2,3,4,1,3,0,3,1,2,3,Fail
224,0,1,3,1,1,1,2,1,3,1,1,3,1,2,3,Fail
225,1,1,4,1,0,2,3,2,1,1,0,3,0,2,3,Fail
226,1,1,3,0,1,2,3,4,1,3,0,3,1,2,3,Fail
227,0,0,4,1,0,2,1,2,1,1,1,3,1,2,4,Fail
228,1,1,2,1,0,2,3,1,1,2,1,2,0,2,3,Fail
229,1,1,4,0,1,2,1,1,1,3,0,4,1,2,4,Fail
230,0,0,1,1,1,1,1,1,1,3,1,3,1,2,4,Fail
231,1,1,2,1,0,2,3,1,1,2,1,2,0,2,3,Fail
232,1,1,3,0,1,2,3,4,1,3,0,3,1,2,3,Fail
233,1,1,2,1,0,2,3,1,1,2,1,2,0,2,3,Fail
234,1,1,4,1,0,2,3,2,1,1,0,3,0,2,3,Fail
235,1,1,2,1,0,2,3,1,1,2,1,2,0,2,3,Fail
236,1,1,2,1,0,2,3,1,1,2,1,2,0,2,3,Fail
237,1,1,3,0,1,2,3,4,1,3,0,3,1,2,3,Fail
238,1,1,2,1,0,2,3,1,1,2,1,2,0,2,3,Fail
239,1,1,2,1,0,2,3,1,1,2,1,2,0,2,3,Fail
240,1,1,2,1,0,2,3,1,1,2,1,2,0,2,3,Fail
241,0,1,3,1,1,1,2,1,3,1,1,3,1,2,3,Fail
242,1,1,4,1,0,2,3,2,1,1,0,3,0,2,3,Fail
243,1,1,2,1,0,2,3,1,1,2,1,2,0,2,3,Fail
244,1,1,3,0,1,2,3,4,1,3,0,3,1,2,3,Fail
245,0,0,1,1,1,1,1,1,1,3,1,3,1,2,4,Fail
246,0,0,4,1,0,2,1,2,1,1,1,3,1,2,4,Fail
247,0,0,4,1,0,2,1,2,1,1,1,3,1,2,4,Fail
248,0,0,4,1,0,2,1,2,1,1,1,3,1,2,4,Fail
249,0,1,3,1,1,1,2,1,3,1,1,3,1,2,3,Fail
250,1,1,4,0,1,2,1,1,1,3,0,4,1,2,4,Fail
251,0,0,4,0,0,2,3,2,1,1,0,1,1,2,4,40 to 49
252,0,1,4,1,0,2,2,2,1,1,0,3,1,2,3,40 to 49
253,1,1,3,1,1,2,2,1,1,1,0,3,1,2,3,40 to 49
254,0,0,4,1,0,3,2,1,1,1,1,4,1,2,4,40 to 49
255,1,0,4,0,1,2,2,1,1,1,0,3,1,2,3,40 to 49
256,0,0,4,0,0,2,3,2,1,1,0,1,1,2,4,40 to 49
257,0,0,1,0,0,1,1,2,2,1,1,3,1,2,3,40 to 49
258,0,0,4,1,0,3,2,1,1,1,1,4,1,2,4,40 to 49
259,0,1,4,1,0,2,2,2,1,1,0,3,1,2,3,40 to 49
260,1,1,3,0,1,2,2,2,2,2,1,3,1,1,3,40 to 49
261,1,0,3,0,1,2,2,2,1,1,1,3,1,2,3,40 to 49
262,1,1,3,0,1,2,2,2,2,2,1,3,1,1,3,40 to 49
263,0,0,4,1,0,3,2,1,1,1,1,4,1,2,4,40 to 49
264,0,0,4,0,0,2,3,2,1,1,0,1,1,2,4,40 to 49
265,1,1,3,1,1,2,2,1,1,1,0,3,1,2,3,40 to 49
266,1,1,3,0,1,2,2,2,2,2,1,3,1,1,3,40 to 49
267,1,1,3,0,1,2,2,2,2,2,1,3,1,1,3,40 to 49
268,0,0,4,0,0,2,3,2,1,1,0,1,1,2,4,40 to 49
269,0,0,4,1,0,3,2,1,1,1,1,4,1,2,4,40 to 49
270,1,0,4,0,1,2,2,1,1,1,0,3,1,2,3,40 to 49
271,0,0,4,0,0,2,3,2,1,1,0,1,1,2,4,40 to 49
272,0,1,4,1,0,2,2,2,1,1,0,3,1,2,3,40 to 49
273,1,0,4,0,1,2,2,1,1,1,0,3,1,2,3,40 to 49
274,0,0,4,1,0,3,2,1,1,1,1,4,1,2,4,40 to 49
275,1,1,3,0,1,2,2,2,2,2,1,3,1,1,3,40 to 49
276,1,1,3,0,1,2,2,2,2,2,1,3,1,1,3,40 to 49
277,1,1,3,1,1,2,2,1,1,1,0,3,1,2,3,40 to 49
278,1,1,3,0,1,2,2,2,2,2,1,3,1,1,3,40 to 49
279,1,0,4,0,1,2,2,1,1,1,0,3,1,2,3,40 to 49
280,1,0,4,0,1,2,2,1,1,1,0,3,1,2,3,40 to 49
281,1,1,3,1,1,2,2,1,1,1,0,3,1,2,3,40 to 49
282,1,1,3,0,1,2,2,2,2,2,1,3,1,1,3,40 to 49
283,0,1,4,1,0,2,2,2,1,1,0,3,1,2,3,40 to 49
284,1,1,3,0,1,2,2,2,2,2,1,3,1,1,3,40 to 49
285,1,0,3,1,0,1,1,2,2,1,0,1,0,2,3,50 to 59
286,1,0,4,1,0,1,2,3,2,1,1,3,1,2,3,50 to 59
287,1,0,3,1,0,1,1,2,2,1,0,1,0,2,3,50 to 59
288,1,0,4,1,0,1,2,3,2,1,1,3,1,2,3,50 to 59
289,1,0,4,1,0,1,2,3,2,1,1,3,1,2,3,50 to 59
290,1,0,3,0,1,2,1,2,1,1,1,3,0,2,3,50 to 59
291,1,0,3,1,0,1,1,2,2,1,0,1,0,2,3,50 to 59
292,1,0,4,1,0,1,2,3,2,1,1,3,1,2,3,50 to 59
293,0,0,3,1,1,3,2,2,2,1,0,2,1,1,2,50 to 59
294,1,1,3,0,1,2,3,1,1,1,0,1,0,2,3,50 to 59
295,1,0,3,0,1,2,1,2,1,1,1,3,0,2,3,50 to 59
296,1,0,4,1,0,1,2,3,2,1,1,3,1,2,3,50 to 59
297,1,0,3,1,0,1,1,2,2,1,0,1,0,2,3,50 to 59
298,1,1,3,0,1,2,3,1,1,1,0,1,0,2,3,50 to 59
299,1,0,3,0,1,2,1,2,1,1,1,3,0,2,3,50 to 59
300,1,1,3,0,1,2,3,1,1,1,0,1,0,2,3,50 to 59
301,0,0,3,1,1,3,2,2,2,1,0,2,1,1,2,50 to 59
302,1,0,3,0,1,2,1,2,1,1,1,3,0,2,3,50 to 59
303,1,0,3,1,0,1,1,2,2,1,0,1,0,2,3,50 to 59
304,1,0,4,1,0,1,2,3,2,1,1,3,1,2,3,50 to 59
305,0,0,1,0,0,1,2,3,2,1,1,3,0,2,3,50 to 59
306,1,0,4,1,0,1,2,3,2,1,1,3,1,2,3,50 to 59
307,1,0,3,0,1,2,1,2,1,1,1,3,0,2,3,50 to 59
308,1,0,4,1,0,1,2,3,2,1,1,3,1,2,3,50 to 59
309,0,0,1,0,0,1,2,3,2,1,1,3,0,2,3,50 to 59
310,0,0,1,0,0,1,2,3,2,1,1,3,0,2,3,50 to 59
311,1,0,3,1,0,1,1,2,2,1,0,1,0,2,3,50 to 59
312,0,0,1,0,0,1,2,3,2,1,1,3,0,2,3,50 to 59
313,1,0,3,1,0,1,1,2,2,1,0,1,0,2,3,50 to 59
314,1,0,4,1,0,1,2,3,2,1,1,3,1,2,3,50 to 59
315,1,0,3,1,0,1,1,2,2,1,0,1,0,2,3,50 to 59
316,1,0,3,0,1,2,1,2,1,1,1,3,0,2,3,50 to 59
317,1,0,4,1,0,1,2,3,2,1,1,3,1,2,3,50 to 59
318,0,0,1,0,0,1,2,3,2,1,1,3,0,2,3,50 to 59
319,0,0,3,1,1,1,1,3,2,2,1,2,1,2,3,60 to 69
320,1,1,3,0,0,2,2,2,1,1,1,3,1,2,3,60 to 69
321,0,0,2,0,1,2,2,4,1,1,1,3,0,2,2,60 to 69
322,1,1,1,0,0,1,1,1,1,1,0,2,0,2,2,60 to 69
323,0,0,2,0,1,2,2,4,1,1,1,3,0,2,2,60 to 69
324,1,1,1,0,0,2,3,3,1,1,0,3,1,2,2,60 to 69
325,1,1,3,0,0,2,2,2,1,1,1,3,1,2,3,60 to 69
326,0,0,1,0,0,1,1,3,1,1,1,2,1,2,2,60 to 69
327,0,0,3,1,1,1,1,3,2,2,1,2,1,2,3,60 to 69
328,0,0,3,1,1,1,1,3,2,2,1,2,1,2,3,60 to 69
329,0,0,1,1,0,2,2,2,1,1,1,1,0,2,3,60 to 69
330,0,0,3,1,1,1,1,3,2,2,1,2,1,2,3,60 to 69
331,0,0,2,0,1,2,2,4,1,1,1,3,0,2,2,60 to 69
332,1,1,4,0,0,1,2,5,1,1,1,3,1,2,2,60 to 69
333,1,1,1,0,0,1,1,1,1,1,0,2,0,2,2,60 to 69
334,0,0,1,0,0,1,1,1,2,1,1,3,0,2,2,60 to 69
335,1,1,4,0,1,1,1,2,2,1,1,2,1,2,3,60 to 69
336,1,1,4,0,0,3,2,2,2,1,0,3,0,2,3,60 to 69
337,0,1,4,0,1,1,1,2,2,1,1,3,0,2,3,60 to 69
338,1,1,1,0,0,1,1,1,1,1,0,2,0,2,2,60 to 69
339,1,0,3,0,1,1,1,3,1,1,1,2,0,2,2,80 to 89
340,1,0,1,0,0,2,1,3,1,1,0,3,1,2,2,80 to 89
341,1,1,2,0,0,1,2,3,1,1,1,3,1,2,1,80 to 89
342,1,0,3,0,1,1,1,3,1,1,1,2,0,2,2,80 to 89
343,0,0,2,0,0,1,1,2,2,1,1,3,1,2,3,80 to 89
344,0,0,1,0,0,1,2,1,2,1,1,3,0,2,1,90 to 100
345,1,1,3,0,0,1,2,4,2,1,1,3,1,1,1,90 to 100
346,1,1,3,0,0,1,2,4,2,1,1,3,1,1,1,90 to 100
347,1,1,4,1,1,1,2,4,2,1,1,1,1,1,1,90 to 100
348,1,1,4,0,0,2,2,4,2,2,1,1,0,1,1,90 to 100
349,0,0,1,0,0,1,2,1,2,1,1,3,0,2,1,90 to 100
350,1,1,2,1,0,1,1,4,1,1,0,2,1,1,1,90 to 100
351,1,1,4,0,0,2,2,4,2,2,1,1,0,1,1,90 to 100
352,1,1,4,1,1,1,2,4,2,1,1,1,1,1,1,90 to 100
353,1,1,3,0,0,1,2,4,2,1,1,3,1,1,1,90 to 100
354,1,1,3,0,0,1,2,4,2,1,1,3,1,1,1,90 to 100
355,1,0,1,1,1,2,2,2,1,1,1,2,1,1,1,90 to 100
356,1,1,4,0,0,2,2,4,2,2,1,1,0,1,1,90 to 100
357,0,0,1,0,0,1,2,1,2,1,1,3,0,2,1,90 to 100
358,0,0,1,0,0,1,2,1,2,1,1,3,0,2,1,90 to 100
359,1,1,2,1,0,1,1,4,1,1,0,2,1,1,1,90 to 100
360,1,0,1,1,1,2,2,2,1,1,1,2,1,1,1,90 to 100
361,1,0,1,1,1,2,2,2,1,1,1,2,1,1,1,90 to 100
362,1,1,4,0,0,2,2,4,2,2,1,1,0,1,1,90 to 100
363,1,1,4,1,1,1,2,4,2,1,1,1,1,1,1,90 to 100
364,1,1,3,0,0,1,2,4,2,1,1,3,1,1,1,90 to 100
365,1,1,3,0,0,2,2,3,2,1,1,2,1,1,1,90 to 100
366,1,1,3,0,0,1,2,4,2,1,1,3,1,1,1,90 to 100
367,1,1,3,0,0,2,2,3,2,1,1,2,1,1,1,90 to 100
368,0,0,1,0,0,1,2,1,2,1,1,3,0,2,1,90 to 100
