,Gender,TravelMethod,TravelTime,PartTimeJob,Relationship,Father's_education,Mother's_education,StudyHours,AttendenceLecs,Concentrate,Friends,SocialMediaTime,extra curricular,HowYouPrepare,StudyPattern,Rate yourself,Marks
77,0,0,1,0,0,1,1,3,2,2,1,1,1,1,2,2,70 to 79
78,0,0,3,0,1,2,1,2,2,1,1,3,0,1,2,2,60 to 69
79,1,1,4,0,0,1,1,3,1,1,1,3,0,1,1,2,70 to 79
80,0,0,4,0,0,1,1,2,2,2,1,3,0,4,1,3,70 to 79
81,0,0,1,0,0,1,1,3,1,1,1,2,1,4,2,2,60 to 69
82,0,0,2,1,0,2,2,2,2,2,1,3,0,4,2,1,80 to 89
83,0,1,2,0,0,1,1,2,1,1,1,3,1,1,2,3,70 to 79
84,1,0,2,0,0,1,2,3,2,1,1,3,1,4,2,1,80 to 89
85,0,0,3,1,0,1,1,3,1,1,1,3,1,4,1,2,80 to 89
86,0,1,1,0,0,1,2,1,1,1,1,2,0,1,2,2,70 to 79
87,0,0,1,0,0,1,2,3,2,1,1,3,0,1,2,3,50 to 59
88,0,0,3,0,0,1,1,3,2,1,1,2,0,1,2,2,70 to 79
89,0,0,1,0,0,1,1,2,2,1,0,3,0,1,2,2,70 to 79
90,1,1,1,0,1,2,1,4,1,1,1,3,1,1,2,2,80 to 89
91,0,0,3,0,0,1,1,4,1,1,1,2,1,1,2,3,70 to 79
92,1,0,1,0,0,2,1,2,1,1,1,3,1,5,1,2,70 to 79
93,0,0,2,0,0,1,1,2,2,1,1,2,1,1,2,3,60 to 69
94,1,1,3,0,0,1,1,1,1,1,1,3,1,1,2,3,60 to 69
95,1,1,1,0,0,1,1,3,1,1,0,2,1,1,2,1,80 to 89
96,0,0,1,1,0,2,2,2,1,1,1,1,0,1,2,3,60 to 69
97,0,0,1,0,0,1,1,3,2,1,1,3,0,1,2,2,80 to 89
98,0,1,2,0,0,1,2,3,2,2,1,1,0,4,2,2,80 to 89
99,1,1,4,0,0,1,2,5,1,1,1,3,1,7,2,2,60 to 69
100,0,0,2,0,1,1,1,4,2,1,0,1,0,1,1,2,80 to 89
101,0,1,1,0,0,1,1,3,2,1,1,2,0,4,2,2,70 to 79
102,1,1,2,0,0,1,2,1,2,1,1,3,0,4,2,2,70 to 79
103,0,0,2,0,0,2,2,5,1,1,1,3,0,4,2,3,80 to 89
104,0,0,4,0,0,1,1,1,1,1,1,3,1,4,2,2,70 to 79
105,0,1,3,0,0,2,2,4,2,2,1,2,0,1,1,1,80 to 89
106,1,1,3,0,1,2,3,1,1,1,0,1,0,1,2,3,50 to 59
107,0,1,4,0,0,2,1,1,3,1,0,3,0,1,2,4,0 to 20
108,1,0,2,0,1,2,2,1,1,1,0,3,0,2,2,4,20 to 29
109,0,0,4,1,0,3,2,1,1,1,1,4,1,2,2,4,40 to 49
110,0,1,3,1,1,1,2,1,3,1,1,3,1,1,2,3,30 to 39
111,1,1,4,0,1,2,1,1,1,3,0,4,1,1,2,4,30 to 39
112,1,0,4,1,0,1,3,4,2,1,0,3,1,2,2,4,0 to 20
113,0,1,4,1,0,2,2,2,1,1,0,3,1,1,2,3,40 to 49
114,0,0,1,1,1,1,1,1,1,3,1,3,1,6,2,4,30 to 39
115,1,0,3,0,1,2,1,2,1,1,1,3,0,4,2,3,50 to 59
116,0,1,4,1,1,3,3,2,2,2,0,3,1,1,2,4,0 to 20
117,1,1,3,0,1,2,3,4,1,3,0,3,1,1,2,3,30 to 39
118,1,0,4,1,0,1,2,3,2,1,1,3,1,7,2,3,50 to 59
119,1,1,4,1,1,1,2,1,1,1,0,3,1,1,2,4,0 to 20
120,0,0,3,1,1,3,2,2,2,1,0,2,1,2,1,2,50 to 59
121,0,1,4,0,1,2,2,1,1,1,0,3,1,4,2,4,20 to 29
122,1,1,4,1,1,1,2,4,2,1,1,1,1,5,1,1,90 to 100
123,1,1,2,1,0,2,3,1,1,2,1,2,0,2,2,3,30 to 39
124,0,1,4,1,1,3,3,4,2,2,0,1,0,1,1,2,60 to 69
125,1,1,3,0,1,2,2,2,2,2,1,3,1,1,1,3,40 to 49
126,1,0,3,1,0,2,1,1,1,1,0,2,1,1,2,2,20 to 29
127,0,0,4,1,0,2,1,2,1,1,1,3,1,1,2,4,30 to 39
128,1,0,2,1,1,1,1,3,2,1,1,2,1,7,1,1,80 to 89
129,1,1,4,1,1,1,1,4,2,2,0,2,1,1,1,1,80 to 89
130,1,1,3,1,1,2,2,1,1,1,0,3,1,1,2,3,40 to 49
131,1,0,3,0,1,2,2,2,1,1,1,3,1,4,2,3,40 to 49
132,0,0,2,0,1,1,2,1,1,1,0,2,0,1,2,3,50 to 59
133,0,0,4,0,0,2,3,2,1,1,0,1,1,2,2,4,40 to 49
134,0,0,1,0,0,1,1,2,2,1,1,3,1,1,2,3,40 to 49
135,1,0,3,1,0,1,1,2,2,1,0,1,0,1,2,3,50 to 59
136,1,1,2,1,1,1,1,2,1,1,0,3,0,1,2,3,20 to 29
137,1,1,3,1,0,2,3,2,1,1,1,3,1,4,2,3,50 to 59
138,1,1,4,1,0,2,3,2,1,1,0,3,0,1,2,3,30 to 39
139,1,0,4,0,1,2,2,1,1,1,0,3,1,1,2,3,40 to 49
140,0,0,1,0,0,1,1,1,1,1,1,3,1,1,2,4,20 to 29
141,1,1,3,0,0,2,2,3,2,1,1,2,1,7,1,1,90 to 100
142,0,1,4,0,0,2,1,1,3,1,0,3,0,1,2,4,0 to 20
143,1,1,4,1,1,1,2,1,1,1,0,3,1,1,2,4,0 to 20
144,1,0,4,1,0,1,3,4,2,1,0,3,1,2,2,4,0 to 20
145,0,1,4,0,0,2,1,1,3,1,0,3,0,1,2,4,0 to 20
146,1,1,4,1,1,1,2,1,1,1,0,3,1,1,2,4,0 to 20
147,1,1,4,1,1,1,2,1,1,1,0,3,1,1,2,4,0 to 20
148,1,1,4,1,1,1,2,1,1,1,0,3,1,1,2,4,0 to 20
149,1,1,4,1,1,1,2,1,1,1,0,3,1,1,2,4,0 to 20
150,1,0,4,1,0,1,3,4,2,1,0,3,1,2,2,4,0 to 20
151,1,1,4,1,1,1,2,1,1,1,0,3,1,1,2,4,0 to 20
152,1,0,4,1,0,1,3,4,2,1,0,3,1,2,2,4,0 to 20
153,0,1,4,1,1,3,3,2,2,2,0,3,1,1,2,4,0 to 20
154,0,1,4,0,0,2,1,1,3,1,0,3,0,1,2,4,0 to 20
155,1,1,4,1,1,1,2,1,1,1,0,3,1,1,2,4,0 to 20
156,0,1,4,1,1,3,3,2,2,2,0,3,1,1,2,4,0 to 20
157,0,1,4,0,0,2,1,1,3,1,0,3,0,1,2,4,0 to 20
158,0,1,4,0,0,2,1,1,3,1,0,3,0,1,2,4,0 to 20
159,0,1,4,0,0,2,1,1,3,1,0,3,0,1,2,4,0 to 20
160,0,1,4,1,1,3,3,2,2,2,0,3,1,1,2,4,0 to 20
161,1,0,4,1,0,1,3,4,2,1,0,3,1,2,2,4,0 to 20
162,0,1,4,1,1,3,3,2,2,2,0,3,1,1,2,4,0 to 20
163,1,1,4,1,1,1,2,1,1,1,0,3,1,1,2,4,0 to 20
164,1,1,4,1,1,1,2,1,1,1,0,3,1,1,2,4,0 to 20
165,0,1,4,1,1,3,3,2,2,2,0,3,1,1,2,4,0 to 20
166,0,1,4,0,0,2,1,1,3,1,0,3,0,1,2,4,0 to 20
167,1,0,4,1,0,1,3,4,2,1,0,3,1,2,2,4,0 to 20
168,1,0,4,1,0,1,3,4,2,1,0,3,1,2,2,4,0 to 20
169,1,0,4,1,0,1,3,4,2,1,0,3,1,2,2,4,0 to 20
170,1,0,4,1,0,1,3,4,2,1,0,3,1,2,2,4,0 to 20
171,0,1,4,0,0,2,1,1,3,1,0,3,0,1,2,4,0 to 20
172,1,0,4,1,0,1,3,4,2,1,0,3,1,2,2,4,0 to 20
173,0,1,4,0,0,2,1,1,3,1,0,3,0,1,2,4,0 to 20
174,1,1,4,1,1,1,2,1,1,1,0,3,1,1,2,4,0 to 20
175,0,1,4,0,0,2,1,1,3,1,0,3,0,1,2,4,0 to 20
176,1,1,4,1,1,1,2,1,1,1,0,3,1,1,2,4,0 to 20
177,1,0,4,1,0,1,3,4,2,1,0,3,1,2,2,4,0 to 20
178,0,1,4,1,1,3,3,2,2,2,0,3,1,1,2,4,0 to 20
179,1,1,4,1,1,1,2,1,1,1,0,3,1,1,2,4,0 to 20
180,0,1,3,1,1,1,1,3,2,2,1,1,0,3,2,3,20 to 29
181,0,1,4,0,1,2,2,1,1,1,0,3,1,4,2,4,20 to 29
182,1,0,3,1,0,2,1,1,1,1,0,2,1,1,2,2,20 to 29
183,0,1,3,1,1,1,1,3,2,2,1,1,0,3,2,3,20 to 29
184,1,0,2,0,1,2,2,1,1,1,0,3,0,2,2,4,20 to 29
185,1,0,3,1,0,2,1,1,1,1,0,2,1,1,2,2,20 to 29
186,0,0,1,0,0,1,1,1,1,1,1,3,1,1,2,4,20 to 29
187,1,0,3,1,0,2,1,1,1,1,0,2,1,1,2,2,20 to 29
188,1,0,3,1,0,2,1,1,1,1,0,2,1,1,2,2,20 to 29
189,0,1,3,1,1,1,1,3,2,2,1,1,0,3,2,3,20 to 29
190,1,0,2,0,1,2,2,1,1,1,0,3,0,2,2,4,20 to 29
191,1,0,2,0,1,2,2,1,1,1,0,3,0,2,2,4,20 to 29
192,1,0,2,0,1,2,2,1,1,1,0,3,0,2,2,4,20 to 29
193,0,1,3,1,1,1,1,3,2,2,1,1,0,3,2,3,20 to 29
194,0,1,4,0,1,2,2,1,1,1,0,3,1,4,2,4,20 to 29
195,1,1,2,1,1,1,1,2,1,1,0,3,0,1,2,3,20 to 29
196,1,0,3,1,0,2,1,1,1,1,0,2,1,1,2,2,20 to 29
197,1,0,3,1,0,2,1,1,1,1,0,2,1,1,2,2,20 to 29
198,0,1,4,0,1,2,2,1,1,1,0,3,1,4,2,4,20 to 29
199,1,1,2,1,1,1,1,2,1,1,0,3,0,1,2,3,20 to 29
200,0,1,4,0,1,2,2,1,1,1,0,3,1,4,2,4,20 to 29
201,0,1,3,1,1,1,1,3,2,2,1,1,0,3,2,3,20 to 29
202,0,1,3,1,1,1,1,3,2,2,1,1,0,3,2,3,20 to 29
203,1,1,2,1,1,1,1,2,1,1,0,3,0,1,2,3,20 to 29
204,0,0,1,0,0,1,1,1,1,1,1,3,1,1,2,4,20 to 29
205,0,0,1,0,0,1,1,1,1,1,1,3,1,1,2,4,20 to 29
206,0,1,3,1,1,1,1,3,2,2,1,1,0,3,2,3,20 to 29
207,1,1,2,1,1,1,1,2,1,1,0,3,0,1,2,3,20 to 29
208,1,0,2,0,1,2,2,1,1,1,0,3,0,2,2,4,20 to 29
209,1,1,2,1,1,1,1,2,1,1,0,3,0,1,2,3,20 to 29
210,1,0,2,0,1,2,2,1,1,1,0,3,0,2,2,4,20 to 29
211,0,1,4,0,1,2,2,1,1,1,0,3,1,4,2,4,20 to 29
212,0,1,4,0,1,2,2,1,1,1,0,3,1,4,2,4,20 to 29
213,0,1,3,1,1,1,1,3,2,2,1,1,0,3,2,3,20 to 29
214,1,0,2,0,1,2,2,1,1,1,0,3,0,2,2,4,20 to 29
215,1,0,2,0,1,2,2,1,1,1,0,3,0,2,2,4,20 to 29
216,1,1,4,0,1,2,1,1,1,3,0,4,1,1,2,4,30 to 39
217,1,1,4,0,1,2,1,1,1,3,0,4,1,1,2,4,30 to 39
218,1,1,3,0,1,2,3,4,1,3,0,3,1,1,2,3,30 to 39
219,1,1,4,1,0,2,3,2,1,1,0,3,0,1,2,3,30 to 39
220,1,1,3,0,1,2,3,4,1,3,0,3,1,1,2,3,30 to 39
221,1,1,4,1,0,2,3,2,1,1,0,3,0,1,2,3,30 to 39
222,0,0,1,1,1,1,1,1,1,3,1,3,1,6,2,4,30 to 39
223,1,1,3,0,1,2,3,4,1,3,0,3,1,1,2,3,30 to 39
224,0,1,3,1,1,1,2,1,3,1,1,3,1,1,2,3,30 to 39
225,1,1,4,1,0,2,3,2,1,1,0,3,0,1,2,3,30 to 39
226,1,1,3,0,1,2,3,4,1,3,0,3,1,1,2,3,30 to 39
227,0,0,4,1,0,2,1,2,1,1,1,3,1,1,2,4,30 to 39
228,1,1,2,1,0,2,3,1,1,2,1,2,0,2,2,3,30 to 39
229,1,1,4,0,1,2,1,1,1,3,0,4,1,1,2,4,30 to 39
230,0,0,1,1,1,1,1,1,1,3,1,3,1,6,2,4,30 to 39
231,1,1,2,1,0,2,3,1,1,2,1,2,0,2,2,3,30 to 39
232,1,1,3,0,1,2,3,4,1,3,0,3,1,1,2,3,30 to 39
233,1,1,2,1,0,2,3,1,1,2,1,2,0,2,2,3,30 to 39
234,1,1,4,1,0,2,3,2,1,1,0,3,0,1,2,3,30 to 39
235,1,1,2,1,0,2,3,1,1,2,1,2,0,2,2,3,30 to 39
236,1,1,2,1,0,2,3,1,1,2,1,2,0,2,2,3,30 to 39
237,1,1,3,0,1,2,3,4,1,3,0,3,1,1,2,3,30 to 39
238,1,1,2,1,0,2,3,1,1,2,1,2,0,2,2,3,30 to 39
239,1,1,2,1,0,2,3,1,1,2,1,2,0,2,2,3,30 to 39
240,1,1,2,1,0,2,3,1,1,2,1,2,0,2,2,3,30 to 39
241,0,1,3,1,1,1,2,1,3,1,1,3,1,1,2,3,30 to 39
242,1,1,4,1,0,2,3,2,1,1,0,3,0,1,2,3,30 to 39
243,1,1,2,1,0,2,3,1,1,2,1,2,0,2,2,3,30 to 39
244,1,1,3,0,1,2,3,4,1,3,0,3,1,1,2,3,30 to 39
245,0,0,1,1,1,1,1,1,1,3,1,3,1,6,2,4,30 to 39
246,0,0,4,1,0,2,1,2,1,1,1,3,1,1,2,4,30 to 39
247,0,0,4,1,0,2,1,2,1,1,1,3,1,1,2,4,30 to 39
248,0,0,4,1,0,2,1,2,1,1,1,3,1,1,2,4,30 to 39
249,0,1,3,1,1,1,2,1,3,1,1,3,1,1,2,3,30 to 39
250,1,1,4,0,1,2,1,1,1,3,0,4,1,1,2,4,30 to 39
251,0,0,4,0,0,2,3,2,1,1,0,1,1,2,2,4,40 to 49
252,0,1,4,1,0,2,2,2,1,1,0,3,1,1,2,3,40 to 49
253,1,1,3,1,1,2,2,1,1,1,0,3,1,1,2,3,40 to 49
254,0,0,4,1,0,3,2,1,1,1,1,4,1,2,2,4,40 to 49
255,1,0,4,0,1,2,2,1,1,1,0,3,1,1,2,3,40 to 49
256,0,0,4,0,0,2,3,2,1,1,0,1,1,2,2,4,40 to 49
257,0,0,1,0,0,1,1,2,2,1,1,3,1,1,2,3,40 to 49
258,0,0,4,1,0,3,2,1,1,1,1,4,1,2,2,4,40 to 49
259,0,1,4,1,0,2,2,2,1,1,0,3,1,1,2,3,40 to 49
260,1,1,3,0,1,2,2,2,2,2,1,3,1,1,1,3,40 to 49
261,1,0,3,0,1,2,2,2,1,1,1,3,1,4,2,3,40 to 49
262,1,1,3,0,1,2,2,2,2,2,1,3,1,1,1,3,40 to 49
