,Gender,TravelMethod,TravelTime,PartTimeJob,Relationship,Father's_education,Mother's_education,StudyHours,AttendenceLecs,Concentrate,Friends,SocialMediaTime,extra curricular,HowYouPrepare,StudyPattern,Rate yourself,Marks
341,1,1,2,0,0,1,2,3,1,1,1,3,1,4,2,1,80 to 89
342,1,0,3,0,1,1,1,3,1,1,1,2,0,1,2,2,80 to 89
343,0,0,2,0,0,1,1,2,2,1,1,3,1,4,2,3,80 to 89
344,0,0,1,0,0,1,2,1,2,1,1,3,0,1,2,1,90 to 100
345,1,1,3,0,0,1,2,4,2,1,1,3,1,1,1,1,90 to 100
346,1,1,3,0,0,1,2,4,2,1,1,3,1,1,1,1,90 to 100
347,1,1,4,1,1,1,2,4,2,1,1,1,1,5,1,1,90 to 100
348,1,1,4,0,0,2,2,4,2,2,1,1,0,1,1,1,90 to 100
349,0,0,1,0,0,1,2,1,2,1,1,3,0,1,2,1,90 to 100
350,1,1,2,1,0,1,1,4,1,1,0,2,1,1,1,1,90 to 100
351,1,1,4,0,0,2,2,4,2,2,1,1,0,1,1,1,90 to 100
352,1,1,4,1,1,1,2,4,2,1,1,1,1,5,1,1,90 to 100
353,1,1,3,0,0,1,2,4,2,1,1,3,1,1,1,1,90 to 100
354,1,1,3,0,0,1,2,4,2,1,1,3,1,1,1,1,90 to 100
355,1,0,1,1,1,2,2,2,1,1,1,2,1,7,1,1,90 to 100
356,1,1,4,0,0,2,2,4,2,2,1,1,0,1,1,1,90 to 100
357,0,0,1,0,0,1,2,1,2,1,1,3,0,1,2,1,90 to 100
358,0,0,1,0,0,1,2,1,2,1,1,3,0,1,2,1,90 to 100
359,1,1,2,1,0,1,1,4,1,1,0,2,1,1,1,1,90 to 100
360,1,0,1,1,1,2,2,2,1,1,1,2,1,7,1,1,90 to 100
361,1,0,1,1,1,2,2,2,1,1,1,2,1,7,1,1,90 to 100
362,1,1,4,0,0,2,2,4,2,2,1,1,0,1,1,1,90 to 100
363,1,1,4,1,1,1,2,4,2,1,1,1,1,5,1,1,90 to 100
364,1,1,3,0,0,1,2,4,2,1,1,3,1,1,1,1,90 to 100
365,1,1,3,0,0,2,2,3,2,1,1,2,1,7,1,1,90 to 100
366,1,1,3,0,0,1,2,4,2,1,1,3,1,1,1,1,90 to 100
367,1,1,3,0,0,2,2,3,2,1,1,2,1,7,1,1,90 to 100
368,0,0,1,0,0,1,2,1,2,1,1,3,0,1,2,1,90 to 100
369,0,0,1,0,0,1,2,1,2,1,1,3,0,1,2,1,90 to 100
370,1,1,3,0,0,2,2,3,2,1,1,2,1,7,1,1,90 to 100
371,1,1,4,0,0,2,2,4,2,2,1,1,0,1,1,1,90 to 100
372,0,1,2,1,1,1,2,3,2,2,1,3,0,1,1,1,90 to 100
373,0,0,1,0,0,1,2,1,2,1,1,3,0,1,2,1,90 to 100
374,1,1,4,1,1,1,2,4,2,1,1,1,1,5,1,1,90 to 100
375,1,1,3,0,0,2,2,3,2,1,1,2,1,7,1,1,90 to 100
376,1,0,1,1,1,2,2,2,1,1,1,2,1,7,1,1,90 to 100
377,1,1,4,1,1,1,2,4,2,1,1,1,1,5,1,1,90 to 100
